url	download_complete
ngs.ics.uci.edu/updates-from-seraja-2	complete
www.ics.uci.edu/~ihler/code	complete
ngs.ics.uci.edu/growing-old	complete
wics.ics.uci.edu/cia-info-session-with-wics	complete
www.ics.uci.edu/~ziv/ooad/classes/index.htm	complete
www.ics.uci.edu/~nicolau	complete
sli.ics.uci.edu/PmWiki/BasicEditing	complete
www.ics.uci.edu/~maheshmn/eCACTI/howto.htm	complete
www.ics.uci.edu/Arcadia/Teamware/demo/project.html	complete
sdcl.ics.uci.edu/2011/07/848	complete
ngs.ics.uci.edu/ho-chi-minh-city	complete
www.ics.uci.edu/~dvk/pub/SIGMODR04_dvk.html	complete
ngs.ics.uci.edu/category/experiential-computing/page/33	complete
ngs.ics.uci.edu/knowledge-science-4	complete
www.ics.uci.edu/~kay/python/RPList.py	complete
emj.ics.uci.edu/teaching	complete
sli.ics.uci.edu/Classes-2008F/Discussion	complete
ngs.ics.uci.edu/category/technical-thoughts/page/29	complete
ngs.ics.uci.edu/knowledge-science-2	complete
ngs.ics.uci.edu/knowledge-science-3	complete
www.ics.uci.edu/~stasio/Papers/jsy04-abs.html	complete
ngs.ics.uci.edu/the-ubiquitous-web	complete
sli.ics.uci.edu/PmWiki/RefCount?action=refcount	complete
ngs.ics.uci.edu/capturing-experiences	complete
www.ics.uci.edu/%7Ewscacchi/Pubs-SF.html	complete
www.ics.uci.edu/~dvk/CV/cv.html	complete
ngs.ics.uci.edu/entrepreneurship/current-companies	complete
ngs.ics.uci.edu/nagpur-trip-20072	complete
computableplant.ics.uci.edu/gallery/gallery.html	complete
isg.ics.uci.edu/events.html	complete
ngs.ics.uci.edu/category/technical-thoughts/page/35	complete
ngs.ics.uci.edu/pragyan-2010-at-nit-trichy	complete
www.ics.uci.edu/~chair/ugrad.html	complete
mcs.ics.uci.edu/current-students/once-admitted/enrollment	complete
ngs.ics.uci.edu/tag/cyber	complete
ngs.ics.uci.edu/blog/page/201	complete
www.ics.uci.edu/~vpalepu/news.html	complete
ngs.ics.uci.edu/observation-systems	complete
sdcl.ics.uci.edu/2012/11/affinity-diagramming	complete
www.ics.uci.edu/%7Erjuang	complete
www.ics.uci.edu/%7Emagda/ics_x33/scheduleG.html	complete
ngs.ics.uci.edu/human-centered-multimedia	complete
sli.ics.uci.edu/Projects/Sensor	complete
www.ics.uci.edu/~redmiles/inf143-SQ09/links.html	complete
ngs.ics.uci.edu/geotagging	complete
ngs.ics.uci.edu/multimedia-text-book	complete
wics.ics.uci.edu/board-game-night-2	complete
www.ics.uci.edu/~kay/uteach/w18.html	complete
www.ics.uci.edu/~dvk/GDF	complete
www.ics.uci.edu/~bic/courses/143A-online	complete
www.ics.uci.edu/community/news/spotlight/spotlight_russell.php	complete
sdcl.ics.uci.edu/author/andre/page/8	complete
sdcl.ics.uci.edu/author/andre/page/9	complete
chenli.ics.uci.edu/entrepreneurship	complete
sdcl.ics.uci.edu/author/andre/page/7	complete
sdcl.ics.uci.edu/author/andre/page/4	complete
sdcl.ics.uci.edu/author/andre/page/5	complete
sdcl.ics.uci.edu/author/andre/page/2	complete
sdcl.ics.uci.edu/author/andre/page/3	complete
ngs.ics.uci.edu/important-factors-for-india	complete
ngs.ics.uci.edu/tag/summarization	complete
ngs.ics.uci.edu/prague-is-pretty-impressive	complete
www.ics.uci.edu/~wjohnson/BIDA/Ch7/FEVdataAge10to19.txt	complete
www.ics.uci.edu/computing/account/faqs.php	complete
sli.ics.uci.edu/Classes-2008F/Puzzle	complete
ngs.ics.uci.edu/modern-travel-requirements	complete
wics.ics.uci.edu/category/news/page/9	complete
www.ics.uci.edu/%7Edsm	complete
www.ics.uci.edu/~willmlam	complete
www.ics.uci.edu/statistics/faculty	complete
www.ics.uci.edu/~lab/students	complete
